id_catalogo,unidad_academica
1,ENBA
2,ENCB
3,ENMyH
4,"ESCA Unidad Santo Tomas"
5,"ESCA Unidad Tepepan"
6,ESCOM
7,ESE
8,ESEO
9,ESFM
10,"ESIME Unidad Zacatenco"
11,"ESIME Unidad Azcapotzalco"
12,"ESIME Unidad Culhuacan"
13,"ESIME UnidadTicoman"
14,ESIQUIE
15,ESIT
16,"ESIA Unidad Tecamachalco"
17,"ESIA Unidad Ticoman"
18,"ESIA Unidad Zacatenco"
19,ESM
20,EST
21,"UPIIC Campus Coahuila"
22,UPIBI
23,"UPIIG Campus Guanajuato"
24,"UPIIZ Campus Zacateas"
25,"UPIIH Campus Hidalgo"
26,"UPIIP Campus Palenque"
27,"UPIIT Campus Tlaxcala"
28,UPIICSA
29,UPIITA
30,UPIEM
31,"CISC Unidad Santo Tomás"
32,"CISC Unidad Milpa Alta"
